,Listing title,eBay item ID,Store category L1,Store category L2,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to you,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Promoted Listings - General fees,Promoted Listings - Priority fees,Ads Express fees,Promoted Offsite - Fees,International fees,Other eBay fees,Deposit processing fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers
28,"Bob's Red Mill Steel Cut Oats, 24-ounce (Pack of 4)",196183784501.0,Other,-,5.0,100.51,99.94,$0.00,$0.57,$0.00,$16.97,$0.00,$0.00,$15.06,$4.12,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2.21,$0.00,82.97,20.1,2,1,0
29,"Lundberg Family Farms Organic Jasmine Rice, California White, 32 Ounce",196183827663.0,Other,-,5.0,55.0,55.0,$0.00,$0.00,$0.00,$12.32,$0.00,$0.00,$7.09,$5.23,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,42.68,11.0,5,5,0
30,"Cascadian Farm Organic Granola, Oats and Honey Cereal, Resealable Pouch, 11 oz",196183835309.0,Other,-,5.0,46.25,46.25,$0.00,$0.00,$0.00,$10.27,$0.00,$0.00,$6.11,$4.16,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,35.98,9.25,5,0,0
31,"Tropical Fantasy Fruit Punch Premium Juice Cocktail, 22.5 Oz",196186681089.0,Other,-,5.0,30.35,28.1,$0.00,$2.25,$0.00,$6.78,$0.00,$0.00,$4.05,$2.73,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,21.32,6.07,5,0,0
32,"Morton Iodized Table Salt, 26 Oz, pack of 2",196187861342.0,Other,-,5.0,77.62,77.0,$0.00,$0.62,$0.00,$10.19,$0.00,$0.00,$10.19,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,66.81,15.52,0,0,0
33,"NSF Certified Pre Workout Powder -C4 Ripped Sport, Fruit Punch Flavor",196191630432.0,Other,-,5.0,74.54,74.54,$0.00,$0.00,$0.00,$17.17,$0.00,$0.00,$21.22,$14.81,$0.00,$0.00,$0.00,$0.66,$0.00,$0.00,$19.52,$0.00,57.37,14.91,5,3,0
34,"Orgain Collagen + Superfoods with 20g Collagen & Vitamin C, 25.6 oz",196286076767.0,Other,-,5.0,192.53,187.34,$0.00,$5.19,$0.00,$42.32,$0.00,$0.00,$49.95,$35.25,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$42.88,$0.00,145.02,38.51,5,0,0
35,Garden of Life Vegan Protein Powder - Raw Organic Meal Replacement Shake - Vanil,196286115926.0,Other,-,5.0,214.81,214.81,$0.00,$0.00,$0.00,$43.02,$0.00,$0.00,$27.33,$15.69,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,171.79,42.96,4,1,0
36,"NeoCell Liquid Collagen Supplement, Pomegranate, 16 oz.",196287026418.0,Other,-,5.0,150.0,150.0,$0.00,$0.00,$0.00,$32.43,$0.00,$0.00,$18.93,$13.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,117.57,30.0,5,0,5
37,"Ray-Ban Meta - Wayfarer (Standard) Smart Glasses - Shiny Black, Clear",196119576445.0,Other,-,4.0,1248.08,1189.98,$0.00,$58.10,$0.00,$280.71,$0.00,$0.00,$305.76,$103.41,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$128.46,$0.00,909.27,312.02,4,0,1
38,"McCormick Maple Extract with Other Natural Flavors, 2 fl oz",196125824128.0,Other,-,4.0,37.72,37.4,$0.00,$0.32,$0.00,$6.69,$0.00,$0.00,$5.56,$1.13,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,30.71,9.43,4,2,0
39,Ghirardelli Premium Assortment Chocolate Squares - 15.77oz bag,196125827137.0,Other,-,4.0,77.76,72.0,$0.00,$5.76,$0.00,$13.40,$0.00,$0.00,$9.90,$3.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,58.6,19.44,4,4,0
40,"Mt. Olive Pickle Juice 100% Kosher Dill Pickle Brine, 64 Ounce Bottle",196133079043.0,Other,-,4.0,88.19,88.19,$0.00,$0.00,$0.00,$19.63,$0.00,$0.00,$12.20,$7.43,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,68.56,22.05,4,1,0
41,"Nature's Path Organic Oats, Old Fashioned Oats, 18 Oz Canister",196167793819.0,Other,-,4.0,40.42,40.19,$0.00,$0.23,$0.00,$8.76,$0.00,$0.00,$5.89,$2.87,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,31.43,10.11,4,3,0
42,"Nature Valley Protein Granola Bars, Peanut Butter Dark Chocolate, 15 ct",196169201410.0,Other,-,4.0,60.0,60.0,$0.00,$0.00,$0.00,$13.11,$0.00,$0.00,$7.71,$5.40,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,46.89,15.0,4,4,0
43,Windex Vinegar Multi-Surface Cleaner 26 Ounce,196169214889.0,Other,-,4.0,0.0,0.0,$0.00,$0.00,$0.00,$22.76,$0.00,$0.00,$14.56,$8.20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-22.76,0.0,4,0,0
