ï»¿,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disclaimers,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ This is an analytics report and currently we support downloading top 8000 listings by sold quantity.,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ This report ONLY includes listings sold within the selected time range. Any fees charged or credits applied to listings sold outside this time range are not included in this report. These fees and credits are included in the selling costs number shown on the Seller Hub Performance sales report dashboard.,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ Any fees charged or credits applied to these listings outside this time range are not included in this report.,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ You had $323.83 of account level fees during this time period. Here is the breakdown of these fees.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subscription fees = $323.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
"â¢ For the orders that have more than one unique item (multi-item orders), the order level fees/costs are distributed in individual items as follows. Total shipping label cost and per order fixed final value fees are equally distributed to each item.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report for Jan 1, 2024 to Sep 29, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,
Listing title,eBay item ID,Store category L1,Store category L2,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to you,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Promoted Listings - General fees,Promoted Listings - Priority fees,Ads Express fees,Promoted Offsite - Fees,International fees,Other eBay fees,Deposit processing fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers
"Sunbelt Bakery Chocolate Chip Chewy Granola Bars, 50 - 1.0 OZ Bars (5 Boxes)",196171276611,Other,-,5,$117.00,$116.75,$0.00,$0.25,$0.00,$22.02,$0.00,$0.00,$15.96,$6.06,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$94.73,$23.40,3,2,0
"Spring Valley - Glucosamine Chondroitin, Triple Strength, 170 Tablets",196174516134,Other,-,5,$40.82,$40.82,$0.00,$0.00,$0.00,$9.82,$0.00,$0.00,$12.23,$4.13,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.54,$0.00,$31.00,$8.16,2,0,0
"Bob's Red Mill Oat Bran Hot Cereal, 18-ounce (Pack of 4)",196183781962,Other,-,5,$142.76,$139.81,$0.00,$2.95,$0.00,$34.50,$0.00,$0.00,$18.94,$8.84,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.72,$105.31,$28.55,3,2,0
"Bob's Red Mill Steel Cut Oats, 24-ounce (Pack of 4)",196183784501,Other,-,5,$100.51,$99.94,$0.00,$0.57,$0.00,$16.97,$0.00,$0.00,$15.06,$4.12,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2.21,$0.00,$82.97,$20.10,2,1,0
"Lundberg Family Farms Organic Jasmine Rice, California White, 32 Ounce",196183827663,Other,-,5,$55.00,$55.00,$0.00,$0.00,$0.00,$12.32,$0.00,$0.00,$7.09,$5.23,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$42.68,$11.00,5,5,0
"Cascadian Farm Organic Granola, Oats and Honey Cereal, Resealable Pouch, 11 oz",196183835309,Other,-,5,$46.25,$46.25,$0.00,$0.00,$0.00,$10.27,$0.00,$0.00,$6.11,$4.16,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$35.98,$9.25,5,0,0
"Tropical Fantasy Fruit Punch Premium Juice Cocktail, 22.5 Oz",196186681089,Other,-,5,$30.35,$28.10,$0.00,$2.25,$0.00,$6.78,$0.00,$0.00,$4.05,$2.73,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$21.32,$6.07,5,0,0
"Morton Iodized Table Salt, 26 Oz, pack of 2",196187861342,Other,-,5,$77.62,$77.00,$0.00,$0.62,$0.00,$10.19,$0.00,$0.00,$10.19,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$66.81,$15.52,0,0,0
"NSF Certified Pre Workout Powder -C4 Ripped Sport, Fruit Punch Flavor",196191630432,Other,-,5,$74.54,$74.54,$0.00,$0.00,$0.00,$17.17,$0.00,$0.00,$21.22,$14.81,$0.00,$0.00,$0.00,$0.66,$0.00,$0.00,$19.52,$0.00,$57.37,$14.91,5,3,0
"Orgain Collagen + Superfoods with 20g Collagen & Vitamin C, 25.6 oz",196286076767,Other,-,5,$192.53,$187.34,$0.00,$5.19,$0.00,$42.32,$0.00,$0.00,$49.95,$35.25,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$42.88,$0.00,$145.02,$38.51,5,0,0
